Quelle,Kategorie,Rezept,Zeile,MaterialNr,Material,Menge_kg,Anteil_Prozent,Wasser_Prozent,Wasser_kg,BEFFE_Prozent,BEFFE_kg,BE_Prozent,BE_kg,Fett_Prozent,Fett_kg,Preis_kg,Kosten,Aktiv
kochwurst,Kochwurst,Schwartemagen wolfen,22,19,Einlage Wamme,0,0,27.5,0,11.6,0,2.7,0,58.2,0,1.1,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,23,20,Einlage Speck,0,0,7.3,0,0.9,0,1.8,0,90,0,0.8,0,FALSE
kochwurst,Kochwurst,Schwartemagen wolfen,24,21,Eis / Brühe,0.6,12,100,0.6,0,0,0,0,0,0,0.05,0.03,TRUE
kochwurst,Kochwurst,Schwartemagen wolfen,25,22,Blut,0,0,100,0,0,0,0,0,0,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,4,1,S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,5,2,S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,6,3,S III,0,0,70,0,16.1,0,2.9,0,11,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,7,4,R I,0,0,75,0,19.5,0,1.5,0,4,0,4.7,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,8,5,R II,0,0,72,0,17,0,3,0,8,0,3.6,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,9,6,R III,0,0,69,0,15.6,0,3.4,0,12,0,2.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,10,7,S IV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,11,8,S V Bauch Fett,0,0,32,0,6.8,0,1.2,0,60,0,1.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,13,10,S V II Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,14,11,S V III Kutterfett,0,0,25,0,2.5,0,2.5,0,70,0,0.6,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,16,13,Schwarten,0,0,55,0,0,0,30,0,15,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,19,16,Einlage S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,20,17,Einlage S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,21,18,Einlage SIV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.3,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,23,20,Einlage Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.1,0,FALSE
bruehwurst,Bruehwurst,Feinbrät-Schinkenw.,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.05,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,4,1,S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,5,2,S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,6,3,S III,0,0,70,0,16.1,0,2.9,0,11,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,7,4,R I,0,0,75,0,19.5,0,1.5,0,4,0,4.7,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,8,5,R II,0,0,72,0,17,0,3,0,8,0,3.6,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,9,6,R III,0,0,69,0,15.6,0,3.4,0,12,0,2.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,10,7,S IV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,11,8,S V Bauch Fett,0,0,32,0,6.8,0,1.2,0,60,0,1.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,13,10,S V II Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,14,11,S V III Kutterfett,0,0,25,0,2.5,0,2.5,0,70,0,0.6,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,16,13,Schwarten,0,0,55,0,0,0,30,0,15,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,19,16,Einlage S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,20,17,Einlage S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,21,18,Einlage SIV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.3,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,23,20,Einlage Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.1,0,FALSE
bruehwurst,Bruehwurst,Gemüse-Paprika,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.05,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,4,1,S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,5,2,S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,6,3,S III,0,0,70,0,16.1,0,2.9,0,11,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,7,4,R I,0,0,75,0,19.5,0,1.5,0,4,0,4.7,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,8,5,R II,0,0,72,0,17,0,3,0,8,0,3.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,9,6,R III,0,0,69,0,15.6,0,3.4,0,12,0,2.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,10,7,S IV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,11,8,S V Bauch Fett,0,0,32,0,6.8,0,1.2,0,60,0,1.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,13,10,S V II Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,14,11,S V III Kutterfett,0,0,25,0,2.5,0,2.5,0,70,0,0.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,16,13,Schwarten,0,0,55,0,0,0,30,0,15,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,19,16,Einlage S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,20,17,Einlage S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,21,18,Einlage SIV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.3,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,23,20,Einlage Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenspicker 30%,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.05,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,4,1,S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,5,2,S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,6,3,S III,0,0,70,0,16.1,0,2.9,0,11,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,7,4,R I,0,0,75,0,19.5,0,1.5,0,4,0,4.7,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,8,5,R II,0,0,72,0,17,0,3,0,8,0,3.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,9,6,R III,0,0,69,0,15.6,0,3.4,0,12,0,2.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,10,7,S IV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,11,8,S V Bauch Fett,0,0,32,0,6.8,0,1.2,0,60,0,1.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,13,10,S V II Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,14,11,S V III Kutterfett,0,0,25,0,2.5,0,2.5,0,70,0,0.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,16,13,Schwarten,0,0,55,0,0,0,30,0,15,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,19,16,Einlage S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,20,17,Einlage S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,21,18,Einlage SIV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.3,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,23,20,Einlage Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.1,0,FALSE
bruehwurst,Bruehwurst,Einlage-Schinkenjagdw. 40%,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.05,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,4,1,S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,5,2,S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,6,3,S III,0,0,70,0,16.1,0,2.9,0,11,0,2.1,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,7,4,R I,0,0,75,0,19.5,0,1.5,0,4,0,4.7,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,8,5,R II,0,0,72,0,17,0,3,0,8,0,3.6,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,9,6,R III,0,0,69,0,15.6,0,3.4,0,12,0,2.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,10,7,S IV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.1,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,11,8,S V Bauch Fett,0,0,32,0,6.8,0,1.2,0,60,0,1.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,13,10,S V II Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,14,11,S V III Kutterfett,0,0,25,0,2.5,0,2.5,0,70,0,0.6,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,15,12,Leber,0,0,76,0,17.9,0,1.1,0,5,0,1.1,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,16,13,Schwarten,0,0,55,0,0,0,30,0,15,0,0.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,19,16,Einlage S I,0,0,75,0,19,0,1,0,5,0,3.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,20,17,Einlage S II,0,0,73,0,17.5,0,1.5,0,8,0,2.6,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,21,18,Einlage SIV Bauch,0,0,53,0,11.9,0,2.1,0,33,0,2.3,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,23,20,Einlage Speck,0,0,8,0,0.3,0,1.7,0,90,0,0.8,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,24,21,Eis / Brühe,0,0,100,0,0,0,0,0,0,0,0.1,0,FALSE
bruehwurst,Bruehwurst,MB-Bierwurst,25,22,Blut,0,0,76.4,0,21,0,1.8,0,0.8,0,0.05,0,FALSE
